"Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"Bulleidia.01",0,0,0,0,0,0,0.819985568523407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904976546764374,0,0,0,0,0,0,0.961233556270599,0.908371806144714,0,0,0,0,0,0,0,0,0,0,0,0.906288325786591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967174530029297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916587710380554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia.01",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.867902457714081,0,0.818963527679443,0.924149453639984,0,0,0.857883274555206,0.943266332149506,0,0,0,0,0,0.916711628437042,0,0,0,0,0,0,0.936601102352142,0.930776953697205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957442462444305,0.887012124061584,0,0,0.943266332149506,0.952780544757843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91704797744751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954428434371948,0,0,0.983108460903168,0.840091705322266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Betaproteobacteria.01",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94511342048645,0,0,0,0.813863337039948,0,0,0,0,0
"C.Betaproteobacteria.02",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.01",0,0,0,0,0,0,0,0,0,0.887249350547791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887249350547791,0.887249350547791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938986420631409,0.887866914272308,0,0,0,0,0,0
"C.Gammaproteobacteria.02",0.888058066368103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.803000867366791,0.861657381057739,0,0,0,0.909447133541107,0.940310776233673,0.804197907447815,0.906063735485077,0,0,0,0,0.836731016635895,0,0,0,0,0,0,0,0.882494688034058,0,0,0,0,0,0,0,0,0,-0.8914635181427,0,0.905452609062195,0.929261684417725,0,0,0,0,0,0,0.826727271080017,0,0,0,0.804197907447815,0.861333847045898,0,0,0,0,0,0,0,0,0,0.99327141046524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802800834178925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.03",0,0,0,0,0,0,0,0,0,0,0,0.867902457714081,0,0,0,0.803000867366791,1,0,0.812633872032166,0,0,0.911555230617523,0.822349786758423,0.8099405169487,0,0,0,0,0,0.87272983789444,0,0,0,0,0,0,0.79947692155838,0.837577819824219,0,0,0,0,0,0,0,0,0,0,0,0.810740530490875,0,0,0,-0.841725170612335,0,0,0,0.900681734085083,0,0,0,0.8099405169487,0.880135715007782,0,0,0,0,0,0,0,0,0,0.80647873878479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818199336528778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.04",0.871748447418213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861657381057739,0,1,0,0,0,0,0,0,0.979637444019318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82191127538681,0,0,0,0,0,-0.84765625,0,0.799962222576141,0.865044414997101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82930588722229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819213449954987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.05",0,0,0,0,0,0,0,0,0,0,0,0.818963527679443,0,0,0,0,0.812633872032166,0,1,0.873630106449127,0,0,0,0.885427415370941,0,0,0,0,0,0.942471742630005,0,0,0,0,0,0,0.882426798343658,0.858004093170166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856955230236053,0.922607004642487,0,0,0.885427415370941,0.890511453151703,0,0,0,0,0,0,0,0,0.927304208278656,0,0,0,0,0,0,0.868177592754364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872524559497833,0,0,0.829017996788025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.06",0,0,0,0,0,0,0,0,0,0,0,0.924149453639984,0,0,0,0,0,0,0.873630106449127,1,0,0,0.903505504131317,0.985363006591797,0,0,0,0,0,0.965431034564972,0,0,0,0,0,0,0.996729850769043,0.976335942745209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903142273426056,0.948099195957184,0,0,0.985363006591797,0.95519083738327,0,0,0,0,0,0,0,0,0,0.817971348762512,0,0,0,0,0,0.999413192272186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97495037317276,0,0,0.948120653629303,0.85044276714325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
